Time (s),A-output,B-output
0.000000,-0.021473,0.027015
0.005000,-0.019256,0.020856
0.010000,-0.018437,0.017516
0.015000,-0.016622,0.013297
0.020000,-0.013092,0.004658
0.025000,-0.012169,-0.002279
0.030000,-0.006783,-0.004859
0.035000,-0.001294,-0.005003
0.040000,0.001646,-0.005881
0.045000,0.004142,-0.003722
0.050000,0.007550,-0.000731
0.055000,0.005960,0.000107
0.060000,0.005680,0.000540
0.065000,0.006674,0.005807
0.070000,0.006756,0.007201
0.075000,0.000196,0.012950
0.080000,0.004397,0.017554
0.085000,0.004414,0.020859
0.090000,0.001170,0.019749
0.095000,-0.004839,0.021010
0.100000,-0.004901,0.022866
0.105000,-0.007382,0.024199
0.110000,-0.007345,0.018714
0.115000,-0.004800,0.014982
0.120000,-0.002659,0.013875
0.125000,-0.004314,0.010652
0.130000,0.002229,0.003413
0.135000,0.008835,-0.001584
0.140000,0.009328,0.003545
0.145000,0.011165,0.012339
0.150000,0.005139,0.013822
0.155000,-0.000567,0.008172
0.160000,-0.004479,0.015646
0.165000,-0.005911,0.020233
0.170000,-0.018267,0.021401
0.175000,-0.021989,0.018379
0.180000,-0.022491,0.014782
0.185000,-0.016506,0.011581
0.190000,-0.014111,0.006726
0.195000,-0.012529,0.006153
0.200000,-0.008606,0.007922
0.205000,-0.007897,0.012529
0.210000,-0.008753,0.012800
0.215000,-0.015345,0.017513
0.220000,-0.014480,0.017185
0.225000,-0.024304,0.011096
0.230000,-0.020199,0.009760
0.235000,-0.011777,0.008459
0.240000,-0.004851,0.003790
0.245000,0.001370,0.002576
0.250000,0.001341,0.012794
0.255000,-0.000026,0.019913
0.260000,-0.012162,0.017163
0.265000,-0.013783,0.009379
0.270000,-0.010603,0.003096
0.275000,0.001308,0.005445
0.280000,0.009742,0.010088
0.285000,0.009091,0.017955
0.290000,0.010625,0.019961
0.295000,-0.000857,0.013413
0.300000,-0.000207,0.009867
0.305000,0.003697,0.006601
0.310000,0.005904,0.012986
0.315000,0.007825,0.023252
0.320000,-0.003124,0.019080
0.325000,-0.000386,0.013263
0.330000,0.003519,0.009897
0.335000,0.006010,0.020802
0.340000,0.010649,0.027319
0.345000,-0.002954,0.013373
0.350000,-0.007668,0.008642
0.355000,-0.003530,0.016114
0.360000,-0.002420,0.024694
0.365000,-0.003802,0.022545
0.370000,-0.015451,0.008688
0.375000,-0.012011,0.016404
0.380000,0.003451,0.030360
0.385000,-0.007278,0.024169
0.390000,-0.012724,0.020413
0.395000,-0.006143,0.021300
0.400000,-0.012517,0.019134
0.405000,-0.008841,0.015028
0.410000,-0.007038,0.007177
0.415000,-0.010103,0.007778
0.420000,-0.001118,0.004001
0.425000,-0.002984,-0.007490
0.430000,-0.001265,-0.008682
0.435000,0.006921,-0.008906
0.440000,-0.000345,-0.017444
0.445000,-0.000655,-0.017746
0.450000,0.007926,-0.012788
0.455000,0.006854,-0.022778
0.460000,0.004157,-0.032729
0.465000,0.014671,-0.025667
0.470000,0.020802,-0.026155
0.475000,0.010753,-0.044879
0.480000,0.018308,-0.048409
0.485000,0.033631,-0.029439
0.490000,0.021112,-0.023826
0.495000,-0.004300,-0.027883
0.500000,-0.008073,-0.022541
0.505000,-0.003460,-0.016965
0.510000,-0.007521,-0.014866
0.515000,-0.006090,-0.013784
0.520000,0.006735,-0.003611
0.525000,0.021207,0.000731
0.530000,0.021198,-0.008199
0.535000,0.023048,-0.011024
0.540000,0.029116,-0.003349
0.545000,0.023329,-0.006380
0.550000,0.015942,-0.018132
0.555000,0.024231,-0.012255
0.560000,0.030429,-0.001629
0.565000,0.021871,-0.000708
0.570000,0.021590,-0.003749
0.575000,0.033710,0.003727
0.580000,0.042692,0.017945
0.585000,0.034173,0.012131
0.590000,0.019941,0.002684
0.595000,0.025463,0.008598
0.600000,0.028300,0.009965
0.605000,0.016198,-0.007790
0.610000,0.009271,-0.021398
0.615000,0.017795,-0.016056
0.620000,0.022790,-0.010274
0.625000,0.014741,-0.017403
0.630000,0.011797,-0.024529
0.635000,0.012187,-0.018245
0.640000,0.007085,-0.015876
0.645000,-0.007356,-0.019582
0.650000,-0.018442,-0.009146
0.655000,-0.021415,0.002041
0.660000,-0.027277,-0.006039
0.665000,-0.023605,-0.011393
0.670000,-0.009414,-0.005065
0.675000,-0.008185,-0.003419
0.680000,-0.014851,-0.007662
0.685000,-0.014817,-0.005727
0.690000,-0.012339,-0.000138
0.695000,-0.016499,-0.004092
0.700000,-0.020507,-0.011144
0.705000,-0.012590,-0.006655
0.710000,-0.007974,-0.010026
0.715000,-0.017370,-0.020008
0.720000,-0.012640,-0.012908
0.725000,-0.001294,-0.001639
0.730000,-0.007806,-0.011778
0.735000,-0.008160,-0.020785
0.740000,0.011429,-0.012479
0.745000,0.017317,-0.019641
0.750000,0.009463,-0.023819
0.755000,0.016886,-0.017507
0.760000,0.014255,-0.017065
0.765000,0.011723,-0.018177
0.770000,0.023625,-0.012925
0.775000,0.033978,-0.004983
0.780000,0.032866,-0.011815
0.785000,0.024459,-0.014522
0.790000,0.029733,-0.008242
0.795000,0.029944,-0.010483
0.800000,0.021090,-0.016917
0.805000,0.018012,-0.012150
0.810000,0.020952,-0.011989
0.815000,0.024563,-0.014514
0.820000,0.028411,-0.004247
0.825000,0.024331,-0.000826
0.830000,0.015006,-0.003566
0.835000,0.014136,-0.002377
0.840000,0.011298,-0.010138
0.845000,-0.002275,-0.023071
0.850000,-0.006260,-0.014089
0.855000,0.000318,-0.008025
0.860000,-0.000794,-0.012686
0.865000,0.005470,-0.002528
0.870000,0.000942,-0.001027
0.875000,-0.020396,-0.005627
0.880000,-0.018037,-0.000699
0.885000,-0.010149,0.002576
0.890000,-0.012984,0.005138
0.895000,-0.013695,-0.002301
0.900000,-0.025024,-0.012000
0.905000,-0.017664,-0.008557
0.910000,-0.004716,-0.010354
0.915000,-0.012355,-0.015863
0.920000,-0.005004,-0.011131
0.925000,-0.001657,-0.010147
0.930000,-0.008411,-0.017873
0.935000,0.000501,-0.014896
0.940000,0.004804,-0.006418
0.945000,-0.000622,-0.006634
0.950000,0.005290,-0.017642
0.955000,0.006766,-0.021832
0.960000,0.004371,-0.006938
0.965000,0.000675,-0.004491
0.970000,-0.008420,-0.009600
0.975000,0.003135,-0.001858
0.980000,0.012334,0.007147
0.985000,0.005589,0.010452
0.990000,0.006892,0.002666
0.995000,0.008438,-0.014151
1.000000,0.014190,-0.022685
1.005000,0.018477,-0.022308
1.010000,0.015008,-0.016391
1.015000,0.018867,-0.009871
1.020000,0.019825,-0.013597
1.025000,0.018632,-0.011033
1.030000,0.018171,-0.000807
1.035000,0.015733,0.002792
1.040000,0.014189,0.003893
1.045000,0.010824,0.003101
1.050000,0.011721,-0.002749
1.055000,0.009748,-0.007046
1.060000,0.005755,-0.008298
1.065000,0.003193,-0.008249
1.070000,-0.000552,-0.004492
1.075000,0.004358,0.007268
1.080000,0.003194,0.015021
1.085000,-0.003633,0.016451
1.090000,-0.001358,0.015004
1.095000,-0.012570,0.001735
1.100000,-0.018152,-0.010238
1.105000,-0.016086,-0.009196
1.110000,-0.016052,0.001368
1.115000,-0.008551,0.006521
1.120000,-0.014251,0.004331
1.125000,-0.018677,-0.004025
1.130000,-0.020296,-0.011279
1.135000,-0.011875,-0.006372
1.140000,-0.002826,0.001843
1.145000,-0.013874,0.007512
1.150000,-0.015445,0.000462
1.155000,-0.016505,-0.011291
1.160000,-0.012065,-0.001706
1.165000,-0.000896,0.009315
1.170000,-0.005026,0.010196
1.175000,0.000243,0.005242
1.180000,0.003766,-0.007675
1.185000,0.005447,-0.017332
1.190000,0.013139,-0.019051
1.195000,0.019265,-0.008264
1.200000,0.020532,-0.001702
1.205000,0.014116,-0.003106
